rating,title,Review,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5,PollenAid Flower Pollen,"Best Flower Pollen Product for the best price anywhere! I have taken flower pollen for over 30 years and Graminex produces the flower pollen with the  most positive results for me. Use to use product that came from Sweden and distributed by Cernitin America, which I found was packaged by Graminex. PollenAid is as good or better.",B0002DUEXS,B0002DUEXS,AG7AXLGRZ3OUQD3W4IORZIXJ436A,49:14.0,17,TRUE
4,PollenAid,I've been taking this product for about a month now.  It seems to be doing what my doctor said it might.  I'm ordering more.,B0002DUEXS,B0002DUEXS,AFAX6LFFY4E4RBG2JJ6UJR47PTNA,50:51.0,2,TRUE
5,Recommended by My Doctor,I use it as recommended by my doctor.  It does the job and I haven't noticed any quality control problems from batch to batch.,B0002DUEXS,B0002DUEXS,AECN5XF6HN6ATS6AVZZGEXV46GGA,44:51.0,1,TRUE
1,Filler ingredients not disclosed.,"This product has several filler ingredients not disclosed on the amazon page. These fillers are meant for ease of  filling capsules by high speed machines( lubrication,etc,..) I don't  like the accumulation of such additives in one's body. I specifically got this brand because of the absence of these chemicals as shown online; however this wasn't the case when I actually received the bottle. Please be accurate about what's in your product.",B0002DUEXS,B0002DUEXS,AHBEN72A2KWGXH5BQPW5CSWGZYPA,24:22.0,12,TRUE
5,Cured prostatitis when Cipro could'nt,"The nagging pain and discomfort of prostatitis is depressing.  After 2 months of poisonous Cipro, I jumped onto the pollen (also took Quercetin) and the problem went away.  Also performance in the bedroom is pretty powerful now.  The stream is strong.",B0002DUEXS,B0002DUEXS,AFI46ZH4LMREQTPHFEH4W6DZHMAA,01:11.0,23,TRUE
5,Works wonders for prostatitis,One per day along with other herbs (Quercertin and Zyflamend) has made a major difference in how my husband feels.,B0002DUEXS,B0002DUEXS,AGSHMOROO6BUCDKGKZYEDYSPUWCA,37:22.0,12,TRUE
4,Worth a try,"I bought this to help with prostatitis.  Seems to be helping, but with most supplements it's difficult to say it was due solely to that supplement.  Usually I try multiple supplements to address any medical issues.",B0002DUEXS,B0002DUEXS,AEPFH7QKVNRYABPT7LD2WUVRDH5A,56:36.0,5,TRUE
5,It is the original,This is the flower pollen that has been in at least one double blind placebo controlled study for use in prostatodynia.,B0002DUEXS,B0002DUEXS,AH62NUE5SXRSKEKKJF2MKUH7NPIQ,44:55.0,1,TRUE
1,Allergic to it,Only after 2 pills did my allergies go crazy and took more as described and got even worse.  It took two days to recover from taking it.  Read on website it will not affect allergies which is not true.,B0002DUEXS,B0002DUEXS,AESE45UNXV2B5GR4NSHRSMJTFADA,26:33.0,1,TRUE
4,PollinAid,"I've been using this supplement for a year and my urine flow is stronger and frequency of urination has lessened.  If it works for you you will not start seeing positive results for 2 or 3 months, so must take it consistently, every day, and be patient.",B0002DUEXS,B0002DUEXS,AFG4AHJU4DSB2773MWZAQDF7342Q,07:26.0,7,TRUE
5,Just works,Stopped propecia and flomax and switched to this and lo and behold I'm only up once a night and no side effects.  Works for me.,B0002DUEXS,B0002DUEXS,AGCMWU6XR3HZROH6T6Y2YNTSX4TA,31:22.0,10,TRUE
5,a very good natural source solution to an irritating problem,I first start purchasing this product over a decade ago. The doctor was giving me Celebrex. I read about studies on the effectiveness of the pollen extract in properly conducted studies. The use of this product turned a noticeable problem into a minor annoyance.I recommended this product to several friends. It did not work for all of them. This does not mean the product is ineffective.you need to use this for at least three months before expecting a noticeable change.,B0002DUEXS,B0002DUEXS,AGBQ6UBV6RNTJEMICBGAL5NAPTJQ,10:13.0,10,TRUE
4,Four Stars,As described,B0002DUEXS,B0002DUEXS,AFFSASKMESI2VMCX33HE6755QIEA,14:35.0,2,TRUE
5,great for prostatitis,great for prostatitis,B0002DUEXS,B0002DUEXS,AHNBJUROGI5VJR56WH75I3BJM7FQ,28:26.0,3,TRUE
5,Beats using a drug to empty your bladder!!!,As good as the prescription drug: Flo Max.&#34; It relaxes the muscles which enables you to pee without using a catheter.,B0002DUEXS,B0002DUEXS,AGLPOJMBASVR7R6MRV5A7U566HYA,41:52.0,6,TRUE
5,"This not something you feel working, but I have ...","This not something you feel working, but I have used it for two years and no issues after yearly physical.",B0002DUEXS,B0002DUEXS,AGIGN3CJTUSHTZMJX7HMU7FQRE6A,29:00.0,0,TRUE
1,Snake Oil Category,I used this product for several months and it provided NO RELIEF whatsoever.,B0002DUEXS,B0002DUEXS,AF2CMWNVLCT5X3U7TOHDIVALFFDA,17:17.0,0,TRUE
5,Five Stars,using this product for over 30 years !,B0002DUEXS,B0002DUEXS,AHHO2ZRWLKPYBFHFUQXDHJZFS3AQ,10:51.0,3,TRUE
5,Five Stars,Great product.,B0002DUEXS,B0002DUEXS,AHH2MR25VVSPAWCR75QKAYD6YDLQ,16:56.0,1,TRUE
4,Graminex always have the best products. They do not add everything possible to ...,Graminex always have the best products. They do not add everything possible to their product in order to try and get yo to buy it. results are good.,B0002DUEXS,B0002DUEXS,AHZJH6C6CEI7CUWH5CKLU6AHXCGA,19:13.0,3,TRUE
4,Four Stars,ok,B0002DUEXS,B0002DUEXS,AHPXL47NVX4ZVRDQHXQBU2EM5DVQ,45:42.0,0,TRUE
5,Flower pollen product.,I order from them a couple of times per year-- always good.,B0002DUEXS,B0002DUEXS,AGHUZ5RIMB6ZMLV4HHVSKT53ES5Q,21:10.0,1,TRUE
5,It works. Plus there are countless double blind placebo ...,It works.  Plus there are countless double blind placebo controlled clinical trials that document the efficacy (Google it).  It's legit.,B0002DUEXS,B0002DUEXS,AHVQTT7JEHWK24ASAH3VZNDZTTQQ,06:06.0,3,TRUE
5,Great product! Will definitely order more,Great product!  Will definitely order more.,B0002DUEXS,B0002DUEXS,AGZ3JJXB7QKAWFOGC65BN34I5PGQ,16:51.0,1,TRUE
3,Three a day.  One month supply.,Three a day.  One month supply.  I expect results worthy of the projected annual cost.<br /><br />Will update review accordingly.,B0002DUEXS,B0002DUEXS,AGGAD7XV6FDXMZ32I4MFTI352UQA,07:19.0,1,TRUE
5,For me this product works to reduce the symptoms of ...,For me this product works to reduce the symptoms of prostatitis. Takes a few weeks for the effects to be significant. Tried other manufacturers Graminex products & did not see the same improvement as with this.,B0002DUEXS,B0002DUEXS,AFGAMTYUMLKNNSY4J374HCMNNSXA,06:21.0,4,TRUE
2,Painful side effects,"Worked great at first, then it's effects diminished over time. Kills my stomach as well.",B0002DUEXS,B0002DUEXS,AGMLK6V44IEGMJIYKX5GE47RWR3A,22:05.5,1,TRUE
5,Five Stars,satisfied,B0002DUEXS,B0002DUEXS,AEYZ3QFXS6THH7CWB2QTZXYCT3GQ,05:53.1,1,TRUE
5,Five Stars,So far so good for my husband,B0002DUEXS,B0002DUEXS,AHRODLBYT4H66TLDX23XXH35VYWA,31:48.1,1,TRUE
1,The opposite of useful,Actually made my oab urge symptoms worse.,B0002DUEXS,B0002DUEXS,AE6SNJVDYMOCRNGQXLDEAMYIZNEQ,51:09.0,0,TRUE
1,Made me worse right away,took 1/2 cap three times a day and after 2 days had to stop thought I was going to go in complete urinary retention. Very bad effect for me. Just opposite what they say.,B0002DUEXS,B0002DUEXS,AHUZW3RNQU2Q7PDFLZS4Y3OP26JA,02:37.0,1,TRUE
1,Burns when urinatiing,"I bought this for my husband because he has BPH, has locked up, and has had prostatitis in the past. However, when he takes it, it burns when he urinates. He stopped taking it and the burning disappeared. When he started again, the burning returned. We are disappointed that it hasn't helped.",B0002DUEXS,B0002DUEXS,AGQNPJMYTQKRGEO7EGRT2IC7QTHA,05:12.3,0,TRUE
2,stability,This product caused a lot of bloating and affected my vagal nerve causing rapid heart rate.,B0002DUEXS,B0002DUEXS,AF5PEGA5AUJBM3P7CHKJI4P2EONA,09:50.2,0,TRUE
1,Severe Stomach Burning,I have GERD. Took one capsule and four hours later stomach was on fire. So if you have stomach issues don't take this product.,B0002DUEXS,B0002DUEXS,AHD6OIFU2HWARTEP2R66FEJYO34A,09:59.4,0,TRUE
5,Great multi!,Great multivitamin by a reputable company.  Doesn't make my stomach upset like other multivitamin's I've taken.  It's a good price too!,B0002DUN4I,B0002DUN4I,AE3EYD2ETHEZO4M2YY2WRPRJS4NA,15-08-2013 12:27,1,TRUE
4,good vitamins,"Easily digestible, but you do have to take more than one per day to get your minimums, per their instructions.",B0002DUN4I,B0002DUN4I,AGCIMEG2XLFRD5RU4HLGI72JCQAA,26-08-2013 20:04,1,TRUE
4,Four Stars,Worked fine,B0002DUN4I,B0002DUN4I,AHGNRZPZ4MZ2M7GBVLSYQJ3FSEGA,09-02-2016 02:05,0,TRUE
5,Heard great things about Genuine Health brand,Just started using them so the verdict is still out but I heard great things about this brand.,B0002DUN4I,B0002DUN4I,AGWBPEUZ3IHND6X7X2EBUTQE2PQQ,30-03-2016 04:03,0,TRUE
5,"EXCELLENT PRODUCT, YOU CAN NOT GET ANY BETTER THAN ...","EXCELLENT PRODUCT  , YOU CAN NOT GET ANY BETTER THAN THIS REBUILD , IT DOES AN  EXCELLENT CLEANSE , REBUILD!!<br />OH,, REMEMBER TO  DRINK  A LOT , A LOT OF DISTILLED  WATER  EVERY HOUR ON THE HOUR , A MUST!!  THANKS AMAZON FOR THIS GREAT PRODUCT,  ITS  SUPER !!",B0002JIG1E,B0002JIG1E,AEUOP2JHQPBY6BY7AP4MBH77ZE7A,20-04-2016 12:37,0,TRUE
5,Great vits,Love these. Even my kids do. They chew the capsules and like the taste. Seems like A&D vitamins are getting harder to find so we have go e through several bottles from this brand and use them any time someone starts getting sick.,B00068SB20,B00068SB20,AH7HT4IOCTLKK7NARXS4OUQGUOXQ,38:27.9,0,TRUE
5,Value,I liked everything about them,B00068SETK,B00068SETK,AHWJ3ERVFR43NDLDLYFHBMTCANCA,34:02.1,0,TRUE
5,Easy to swallow,This is an easy pill to swallow.  My father takes it as part of his daily supplements.,B00068SETK,B00068SETK,AFFCUHTEO5MOF4IAU6IM2JIGYKCA,06:16.3,1,TRUE
5,Great product,Great product.  I will purchased it again in the future,B00068SETK,B00068SETK,AFQLD7VPHLBLDGUQPWHVPTDI7UDA,47:33.8,0,TRUE
5,Awesome thank you...,Good price.Great deal.,B00068SETK,B00068SETK,AEMKBJSEWLKW3TMCMQ4NLPNVWXBA,00:19.8,0,TRUE
5,Good Service,Good price and delivered very rapidly.,B00068SETK,B00068SETK,AGOZOC7ZXA2J7SGBK4OGPES7A7WQ,29:23.4,0,TRUE
5,This is a great product!,Vitamin A is vital to the general health of our immune system.  I love this product and will buy again!,B00068SETK,B00068SETK,AHBW456XIJAXD5XM76O5ORFUHFXQ,29:19.3,0,TRUE
5,"Easy to swallow, small sized gel cap","Due to the current pandemic, we as a family have decided to take more vitamins.  This vitamin A gel cap is small and easy to swallow.  We are using the recommended dose and feel this product provides a good value.",B00068SETK,B00068SETK,AF5BTHTJR34QQ4RIEVXT7EFN57FQ,44:15.8,5,TRUE
5,Great Product,Swanson always provides me with a quality product at a attractive price.,B00068SETK,B00068SETK,AEOL5BS362A5U65VVRMWBI5NQAMA,51:15.3,0,TRUE
5,great,was very good for you,B00068SETK,B00068SETK,AGBO25IXTQJNTQ52GARKNPFSQIKA,04:27.5,0,TRUE
5,Easy to swollen,Easy to swallow make me feel better,B00068SETK,B00068SETK,AGYK2RH4ZRSK7JPG5LBUIZJCYFCQ,14:21.4,0,TRUE
